ra,dec,known_id,tile,label
133.98718,59.157333,non_dwarf_317,138_298,0.0
134.23326,59.156746,non_dwarf_318,138_298,0.0
134.13358,59.043137,non_dwarf_1631,138_298,0.0
134.45036,59.11935,non_dwarf_1634,138_298,0.0
133.65242,58.925724,non_dwarf_1636,138_298,0.0
134.17726,59.162964,non_dwarf_313,138_298,0.0
134.44246,59.225685,non_dwarf_323,139_298,0.0
134.53078,59.005096,non_dwarf_321,139_298,0.0
134.83502,59.066437,non_dwarf_322,139_298,0.0
134.49303,59.092552,MATLAS-453,139_298,0.875
148.1455,61.97572,non_dwarf_326,139_304,0.0
148.2543487548828,61.92355728149414,0953011+615523,139_304,0.0
148.31966,61.960205,non_dwarf_1638,139_304,0.0
148.19193,61.89587,non_dwarf_325,139_304,0.0
148.06479,62.016907,non_dwarf_1639,139_304,0.0
148.2729,61.971905,non_dwarf_324,139_304,0.0
133.73114,58.26358,non_dwarf_336,140_297,0.0
134.10397,58.71201,non_dwarf_338,140_297,0.0
134.42052,58.638325,non_dwarf_334,140_297,0.0
133.9014,58.571793,0855363+583419,140_297,1.0
133.8758,58.688023,085530+584116,140_297,1.0
134.21935,58.673164,085652+584021,140_297,0.583333333333333
134.12032,58.753864,non_dwarf_339,140_297,0.0
134.08923,58.626465,non_dwarf_337,140_297,0.0
134.27586,58.558926,0857060+583332,140_297,1.0
133.6993,58.638405,non_dwarf_340,140_297,0.0
133.84021,58.377758,non_dwarf_1642,140_297,0.0
134.14716,58.490986,non_dwarf_1640,140_297,0.0
133.76598,58.28867,MATLAS-430,140_297,0.958333333333333
261.2984,74.45769,non_dwarf_1643,140_329,0.0
261.3972,74.46209,1725353+742743,140_329,0.458333333333333
121.70105,54.587822,0806481+543516,141_289,0.416666666666667
121.72708,54.587635,non_dwarf_345,141_289,0.0
160.59796,64.197975,1042235+641153,141_308,0.958333333333333
160.99344,64.1245,non_dwarf_346,141_308,0.0
160.65077,64.23145,non_dwarf_347,141_308,0.0
216.43073,70.95968,non_dwarf_1650,141_322,0.0
216.85796,71.07012,non_dwarf_348,141_322,0.0
216.654,70.96585,non_dwarf_349,141_322,0.0
216.94107,70.9746,non_dwarf_1651,141_322,0.0
216.90234,71.01632,1427367+710100,141_322,0.375
217.01828,70.98717,non_dwarf_1649,141_322,0.0
242.90306,73.00329,non_dwarf_1653,142_326,0.0
242.94466,72.9227,non_dwarf_354,142_326,0.0
243.07344,73.03843,non_dwarf_351,142_326,0.0
242.52448,72.885925,non_dwarf_352,142_326,0.0
243.11642,72.89207,non_dwarf_353,142_326,0.0
242.88118,72.923355,1611314+725525,142_326,0.791666666666667
230.71942,71.949936,non_dwarf_355,143_324,0.0
230.72073,71.9972,1522530+715952,143_324,0.125
230.64287,72.04336,non_dwarf_1654,143_324,0.0
230.6047,72.04308,non_dwarf_1655,143_324,0.0
119.81112,52.81888,non_dwarf_1657,144_286,0.0
119.91419982910156,52.77177047729492,0759392+524620,144_286,0.0
119.74807,52.8092,non_dwarf_360,144_286,0.0
126.97145,55.395218,non_dwarf_363,144_291,0.0
126.73278,55.352497,non_dwarf_361,144_291,0.0
126.97278,55.242966,non_dwarf_1658,144_291,0.0
126.69396,55.3335,0826464+552002,144_291,0.875
161.16623,63.41012,non_dwarf_1661,144_307,0.0
160.94463,63.42934,non_dwarf_1662,144_307,0.0
160.8138,63.38095,104315+632252,144_307,1.0
161.2013,63.427834,non_dwarf_365,144_307,0.0
161.3974,63.375576,non_dwarf_1660,144_307,0.0
161.32996,63.347706,non_dwarf_366,144_307,0.0
161.13591,63.3627,1044326+632146,144_307,0.875
234.07321,72.03963,non_dwarf_370,145_324,0.0
234.36124,71.7673,non_dwarf_369,145_324,0.0
233.88194,71.83331,1535317+715000,145_324,0.833333333333333
130.30684,56.25617,non_dwarf_1665,146_292,0.0
130.27957,56.240227,non_dwarf_373,146_292,0.0
130.30263,56.2174,0841127+561303,146_292,0.333333333333333
208.23164,69.66451,non_dwarf_1668,146_319,0.0
208.21875,69.7424,non_dwarf_374,146_319,0.0
208.18542,69.584724,non_dwarf_1667,146_319,0.0
208.39946,69.70638,1353361+694222,146_319,0.333333333333333
161.42952,62.94373,non_dwarf_380,147_306,0.0
161.59358,62.91248,non_dwarf_378,147_306,0.0
161.49594,62.87482,non_dwarf_376,147_306,0.0
161.57463,62.959324,1046178+625733,147_306,1.0
161.76645,62.9942,non_dwarf_382,147_306,0.0
161.48552,62.994026,non_dwarf_383,147_306,0.0
184.69957,66.429695,non_dwarf_1670,147_313,0.0
184.80826,66.57958,121913+663446,147_313,0.833333333333333
184.71628,66.65043,non_dwarf_385,147_313,0.0
204.38405,69.13741,non_dwarf_387,147_318,0.0
204.78513,68.998116,non_dwarf_388,147_318,0.0
204.78632,69.112434,non_dwarf_1671,147_318,0.0
204.79662,69.06198,non_dwarf_386,147_318,0.0
204.80212,69.10673,non_dwarf_389,147_318,0.0
204.4295,69.094574,1337428+690542,147_318,0.916666666666667
157.48854,62.190834,non_dwarf_391,148_304,0.0
157.53816,62.180614,non_dwarf_1672,148_304,0.0
157.3128,62.214485,non_dwarf_1673,148_304,0.0
157.52956,62.219364,1030070+621310,148_304,0.541666666666667
182.02303,65.977776,1208054+655841,148_312,1.0
226.7743,70.81677,non_dwarf_1678,148_322,0.0
227.14592,70.76181,non_dwarf_1676,148_322,0.0
226.99934,70.84313,non_dwarf_396,148_322,0.0
226.9626,70.81534,non_dwarf_1677,148_322,0.0
227.02155,70.80149,1508050+704804,148_322,0.75
145.4359,58.88191,non_dwarf_400,150_298,0.0
145.78185,58.750893,non_dwarf_398,150_298,0.0
145.47107,58.955517,non_dwarf_1679,150_298,0.0
145.96793,59.021988,non_dwarf_401,150_298,0.0
145.7565,58.973595,094301+585825,150_298,0.75
145.6677,58.912872,094240+585446,150_298,0.916666666666667
145.51495,59.042877,MATLAS-556,150_298,1.0
185.02196,65.79297,non_dwarf_410,150_312,0.0
184.51118,65.85599,non_dwarf_411,150_312,0.0
184.2355,66.02844,non_dwarf_412,150_312,0.0
184.1343,66.247665,non_dwarf_409,150_312,0.0
184.32013,66.08659,non_dwarf_408,150_312,0.0
184.29254,65.99604,non_dwarf_406,150_312,0.0
184.239,66.20513,non_dwarf_405,150_312,0.0
184.42209,66.110405,non_dwarf_404,150_312,0.0
183.81569,65.98542,non_dwarf_402,150_312,0.0
184.66997,65.86703,121840+655201,150_312,0.75
183.90717,66.07545,non_dwarf_1686,150_312,0.0
184.18962,66.00071,non_dwarf_1685,150_312,0.0
184.23372,66.17326,non_dwarf_1682,150_312,0.0
183.89201,66.13303,121534+660758,150_312,1.0
184.477,66.00184,1217546+660007,150_312,1.0
184.24692,65.978035,1216594+655843,150_312,0.958333333333333
185.02138,65.84703,122005+655049,150_312,1.0
184.16582,66.10536,non_dwarf_1687,150_312,0.0
128.1019,54.174248,0832245+541026,151_288,0.75
128.1895,54.25708,non_dwarf_1689,151_288,0.0
128.09721,54.00347,non_dwarf_413,151_288,0.0
128.26498,54.116074,non_dwarf_414,151_288,0.0
146.64508,59.056465,non_dwarf_1693,151_298,0.0
146.50304,58.967987,non_dwarf_1691,151_298,0.0
146.52016,59.00792,non_dwarf_1694,151_298,0.0
146.49214,58.882133,non_dwarf_419,151_298,0.0
146.26695,58.93794,non_dwarf_1692,151_298,0.0
146.46124,58.99356,MATLAS-586,151_298,0.666666666666667
153.0971,60.645435,non_dwarf_421,151_301,0.0
152.97134,60.672375,non_dwarf_422,151_301,0.0
153.25159,60.73819,1013005+604418,151_301,0.583333333333333
175.68211,64.74054,non_dwarf_426,151_309,0.0
175.97508,64.72367,non_dwarf_423,151_309,0.0
175.49344,64.735695,1141584+644409,151_309,0.791666666666667
175.15764,64.52823,non_dwarf_424,151_309,0.0
181.86177,65.48075,non_dwarf_428,151_311,0.0
182.66547,65.55973,non_dwarf_432,151_311,0.0
181.97307,65.474014,1207535+652826,151_311,1.0
181.7798,65.52793,non_dwarf_435,151_311,0.0
181.8328,65.48735,non_dwarf_1697,151_311,0.0
181.85884,65.412384,120726+652444,151_311,0.791666666666667
182.39902,65.59514,120935+653542,151_311,1.0
185.74086,65.79387,1222577+654738,151_312,0.875
186.05884,65.81838,non_dwarf_440,151_312,0.0
185.23915,65.94751,122057+655649,151_312,1.0
186.09209,65.849815,non_dwarf_441,151_312,0.0
185.70506,65.74561,non_dwarf_436,151_312,0.0
185.03629,65.99834,non_dwarf_437,151_312,0.0
145.00934,58.535034,MATLAS-540,152_297,1.0
145.84605,58.524952,MATLAS-565,152_297,0.875
145.2691,58.421795,MATLAS-548,152_297,0.958333333333333
145.14316,58.48182,non_dwarf_445,152_297,0.0
145.00378,58.351925,non_dwarf_444,152_297,0.0
145.38232,58.640095,non_dwarf_1702,152_297,0.0
145.98322,58.688652,MATLAS-568,153_297,0.458333333333333
146.2288,58.61731,non_dwarf_449,153_297,0.0
150.37805,59.503284,non_dwarf_1705,153_299,0.0
150.2984,59.43282,non_dwarf_1704,153_299,0.0
150.34012,59.40151,MATLAS-615,153_299,0.791666666666667
150.29564,59.36392,non_dwarf_1706,153_299,0.0
150.4478,59.511185,non_dwarf_454,153_299,0.0
150.33044,59.465862,non_dwarf_453,153_299,0.0
150.59595,59.742832,MATLAS-621,153_299,0.916666666666667
180.75137,65.070564,non_dwarf_462,153_310,0.0
181.09923,65.06373,120423+650349,153_310,1.0
180.97836,65.0603,1203548+650338,153_310,1.0
181.53925,65.027245,non_dwarf_461,153_310,0.0
181.607,65.172775,120625+651021,153_310,1.0
180.99574,65.110085,non_dwarf_459,153_310,0.0
181.3516,65.089836,non_dwarf_457,153_310,0.0
181.20988,65.241066,non_dwarf_460,153_310,0.0
181.22856,65.10028,non_dwarf_458,153_310,0.0
184.71729,65.73344,121853+654443,153_311,0.0416666666666667
185.0461,65.691734,1220110+654130,153_311,1.0
184.59283,65.74788,non_dwarf_1709,153_311,0.0
184.86978,65.491455,non_dwarf_464,153_311,0.0
184.81696,65.74038,non_dwarf_467,153_311,0.0
262.14285,73.04683,non_dwarf_469,153_326,0.0
261.72507,73.08598,non_dwarf_1713,153_326,0.0
261.89328,73.030365,1727342+730150,153_326,0.916666666666667
182.74937,64.92209,non_dwarf_472,154_310,0.0
182.55269,64.76091,121012+644538,154_310,0.791666666666667
182.16338,65.01497,120839+650053,154_310,1.0
181.92975,65.03504,non_dwarf_1717,154_310,0.0
181.64261,65.15988,non_dwarf_1716,154_310,0.0
182.7378,64.92264,non_dwarf_1714,154_310,0.0
185.89203,65.71952,non_dwarf_475,154_311,0.0
185.8011,65.70032,non_dwarf_1719,154_311,0.0
185.47357,65.51376,non_dwarf_477,154_311,0.0
185.55571,65.71574,122212+654257,154_311,0.916666666666667
255.94301,72.55217,non_dwarf_480,154_325,0.0
255.77687,72.490105,170306+722924,154_325,1.0
255.74635,72.36926,non_dwarf_1722,154_325,0.0
180.42325,64.62378,1201416+643726,155_309,1.0
180.50366,64.661064,non_dwarf_481,155_309,0.0
180.08195,64.56534,non_dwarf_1723,155_309,0.0
183.29736,65.13843,non_dwarf_1727,155_310,0.0
183.09908,65.12163,121223+650717,155_310,1.0
183.10136,65.173996,121224+651027,155_310,0.875
183.0362,64.78328,1212086+644700,155_310,1.0
183.29216,65.2031,non_dwarf_486,155_310,0.0
183.32822,64.89692,non_dwarf_485,155_310,0.0
183.087,64.885056,non_dwarf_1728,155_310,0.0
186.84972,65.69046,1227239+654125,155_311,1.0
187.17433,65.64836,non_dwarf_1729,155_311,0.0
187.08696,65.7548,non_dwarf_1730,155_311,0.0
231.44096,70.48459,1525456+702909,155_321,0.583333333333333
231.6062,70.58161,non_dwarf_491,155_321,0.0
231.62126,70.43106,non_dwarf_489,155_321,0.0
231.40259,70.41191,non_dwarf_488,155_321,0.0
231.44435,70.46059,non_dwarf_487,155_321,0.0
258.3777,72.42985,171330+722547,155_325,1.0
258.4118,72.31986,non_dwarf_492,155_325,0.0
258.16797,72.64867,non_dwarf_1733,155_325,0.0
258.1821,72.53201,1712440+723155,155_325,0.166666666666667
132.33011,54.075703,0849193+540433,156_288,0.25
151.88731,58.99939,MATLAS-635,156_298,0.916666666666667
151.86476,59.004517,non_dwarf_502,156_298,0.0
150.94728,59.053314,non_dwarf_504,156_298,0.0
151.06473,59.041344,1004155+590229,156_298,0.791666666666667
151.89375,59.129913,non_dwarf_506,156_298,0.0
151.85982,59.15822,non_dwarf_507,156_298,0.0
151.87471,59.032738,non_dwarf_1736,156_298,0.0
151.14264,58.979046,non_dwarf_509,156_298,0.0
151.94342,59.102486,non_dwarf_510,156_298,0.0
151.85822,58.90766,non_dwarf_508,156_298,0.0
151.22066,59.016094,non_dwarf_1735,156_298,0.0
180.7902,64.641136,non_dwarf_514,156_309,0.0
181.72801,64.66828,120654+644005,156_309,1.0
181.18248,64.73801,1204440+644417,156_309,0.0416666666666667
191.65863,65.90416,non_dwarf_517,156_312,0.0
191.93785,65.82567,non_dwarf_516,156_312,0.0
191.70403,65.85768,1246489+655124,156_312,0.458333333333333
233.46948,70.260796,1533527+701539,156_321,0.541666666666667
233.32413,70.40794,non_dwarf_522,156_321,0.0
233.27357,70.26415,non_dwarf_518,156_321,0.0
233.17857,70.29707,non_dwarf_520,156_321,0.0
233.28273,70.30888,non_dwarf_521,156_321,0.0
233.71352,70.360405,non_dwarf_519,156_321,0.0
133.55647,54.114437,0854135+540652,157_288,0.708333333333333
253.50604,71.89273,non_dwarf_1740,157_324,0.0
253.30026,71.901146,non_dwarf_1739,157_324,0.0
253.5358,72.01942,1654084+720110,157_324,0.875
256.07755,72.14811,non_dwarf_1743,158_324,0.0
256.48096,72.13284,non_dwarf_1744,158_324,0.0
256.1144,72.15517,1704275+720918,158_324,1.0
255.37614,71.921036,170130+715515,158_324,1.0
255.61732,71.82532,non_dwarf_526,158_324,0.0
255.76584,71.95859,non_dwarf_528,158_324,0.0
255.40689,71.87785,non_dwarf_1742,158_324,0.0
256.33344,72.052704,non_dwarf_530,158_324,0.0
121.42797,48.86309,0805426+485147,159_278,0.708333333333333
121.557945,48.955227,non_dwarf_1745,159_278,0.0
128.7122,51.89667,non_dwarf_531,159_284,0.0
128.82245,51.841248,non_dwarf_1747,159_284,0.0
128.83673,51.823357,non_dwarf_1746,159_284,0.0
128.89697,51.784443,0835352+514704,159_284,0.75
133.3568,53.485672,non_dwarf_533,159_287,0.0
133.33897,53.678814,0853214+534044,159_287,0.541666666666667
188.52005,64.92525,1234048+645530,159_310,0.5
188.64629,64.87721,non_dwarf_1750,159_310,0.0
238.30666,70.465904,non_dwarf_538,159_321,0.0
238.3453,70.437454,non_dwarf_536,159_321,0.0
238.30067443847656,70.4811019897461,1553119+702853,159_321,0.0
257.4231,72.174,1709412+721027,159_324,0.583333333333333
258.05246,72.18159,1712128+721053,159_324,0.916666666666667
257.78055,71.828835,1711073+714945,159_324,0.958333333333333
257.64233,72.04147,1710341+720230,159_324,0.958333333333333
257.47897,72.08111,170954+720450,159_324,1.0
257.1538,72.17736,non_dwarf_548,159_324,0.0
257.92596,72.208954,non_dwarf_1753,159_324,0.0
257.69986,71.86487,non_dwarf_544,159_324,0.0
257.65372,72.069664,171036+720410,159_324,1.0
185.32867,64.49995,non_dwarf_551,160_309,0.0
185.6046,64.47926,1222251+642846,160_309,0.791666666666667
185.77568,64.52974,non_dwarf_549,160_309,0.0
185.75974,64.58515,non_dwarf_1756,160_309,0.0
228.8936,69.48084,non_dwarf_552,160_319,0.0
228.69568,69.45169,1514469+692706,160_319,0.416666666666667
240.14052,70.56982,non_dwarf_554,160_321,0.0
240.26851,70.54592,1601044+703246,160_321,0.125
239.18607,70.61253,1556445+703647,160_321,0.458333333333333
240.40622,70.48508,non_dwarf_1758,160_321,0.0
239.1487,70.6775,1556355+704039,160_321,0.75
240.16931,70.60238,non_dwarf_555,160_321,0.0
259.33023,71.85512,non_dwarf_1760,160_324,0.0
258.32864,72.08859,non_dwarf_560,160_324,0.0
258.94308,71.84122,1715465+715028,160_324,0.416666666666667
124.938225,49.856586,0819451+495124,161_280,0.583333333333333
125.11647,49.829334,non_dwarf_1762,161_280,0.0
125.027565,49.837715,non_dwarf_563,161_280,0.0
187.51904,64.41868,123004+642507,161_309,1.0
187.5588,64.47107,1230140+642816,161_309,0.208333333333333
187.48761,64.480286,non_dwarf_567,161_309,0.0
187.55734,64.342735,non_dwarf_566,161_309,0.0
187.2542,64.418304,non_dwarf_565,161_309,0.0
154.89413,58.478806,1019347+582842,162_297,0.666666666666667
154.9173,58.507164,MATLAS-676,162_297,0.125
154.57115,58.732162,MATLAS-664,162_297,1.0
154.94461,58.634785,MATLAS-678,162_297,0.958333333333333
155.13829,58.693615,non_dwarf_1767,162_297,0.0
154.76308,58.463024,non_dwarf_569,162_297,0.0
155.09462,58.520958,non_dwarf_571,162_297,0.0
154.6899,58.617577,non_dwarf_572,162_297,0.0
154.80542,58.392635,non_dwarf_568,162_297,0.0
136.27884,53.096024,0905069+530547,164_286,1.0
121.18003,46.899258,0804430+465401,165_274,0.166666666666667
121.34458,46.936367,non_dwarf_578,165_274,0.0
134.23207,51.978268,non_dwarf_584,165_284,0.0
134.20078,52.010708,0856482+520040,165_284,0.916666666666667
188.3957,63.8183,1233350+634906,165_308,0.416666666666667
188.09155,63.982647,123221+635857,165_308,0.958333333333333
187.82475,64.1241,1231174+640727,165_308,0.583333333333333
187.68028,64.01852,1230432+640107,165_308,0.791666666666667
188.15268,64.17405,1232365+641027,165_308,1.0
188.32845,64.19186,non_dwarf_592,165_308,0.0
188.32724,63.904167,non_dwarf_593,165_308,0.0
187.72533,64.11489,non_dwarf_1772,165_308,0.0
230.25824,68.93589,non_dwarf_1775,165_318,0.0
229.95491,68.88269,1519491+685258,165_318,0.75
130.76414,50.312313,non_dwarf_595,166_281,0.0
130.88052,50.25,non_dwarf_1776,166_281,0.0
130.65854,50.275444,084238+501631,166_281,0.958333333333333
134.60895,51.970043,non_dwarf_601,166_284,0.0
134.7202,51.861603,non_dwarf_600,166_284,0.0
134.4782,51.7643,non_dwarf_597,166_284,0.0
134.49991,51.84338,0858000+515037,166_284,0.25
134.50533,51.798477,non_dwarf_1777,166_284,0.0
139.4441,53.293205,NSA-78956,166_287,0.791666666666667
139.19016,53.44287,NSA-648311,166_287,0.708333333333333
186.55005,63.67245,1226120+634021,166_307,0.916666666666667
186.23027,63.586918,non_dwarf_610,166_307,0.0
188.89143,63.96953,1235337+635811,166_308,0.5
188.89098,64.010605,non_dwarf_1781,166_308,0.0
131.45056,50.39728,non_dwarf_1782,167_281,0.0
131.2743,50.25436,084505+501516,167_281,1.0
131.18004,50.311287,non_dwarf_613,167_281,0.0
112.73329,41.790245,non_dwarf_1785,168_264,0.0
112.75748,41.834538,0731018+415007,168_264,0.875
112.6889,41.865963,non_dwarf_616,168_264,0.0
130.77837,50.078957,0843066+500443,168_280,0.916666666666667
131.07614,49.78815,084418+494717,168_280,1.0
130.93538,50.069824,084344+500413,168_280,1.0
130.81143,49.814323,084314+494850,168_280,0.625
130.92291,49.846107,MATLAS-407,168_280,0.625
130.93608,49.885624,084344+495309,168_280,0.916666666666667
130.74341,49.94742,non_dwarf_618,168_280,0.0
131.02481,50.099407,084406+500557,168_280,1.0
139.22722,52.834312,non_dwarf_622,168_286,0.0
139.30988,53.229713,LS-595921-1395,168_286,1.0
139.4579,53.15336,0917499+530912,168_286,1.0
139.3365,53.10016,091720+530605,168_286,0.625
139.5197,53.154762,non_dwarf_625,168_286,0.0
139.3806,52.992516,091731+525934,168_286,0.75
139.22496,52.95304,non_dwarf_1792,168_286,0.0
139.42513,53.027046,LS-595052-1940,168_286,0.833333333333333
139.23901,53.010178,LS-595052-1698,168_286,0.875
251.06117,70.559715,non_dwarf_628,168_321,0.0
251.28806,70.5594,non_dwarf_1794,168_321,0.0
251.47362,70.569336,1645536+703410,168_321,0.708333333333333
131.5437,50.086704,non_dwarf_634,169_280,0.0
131.41379,50.227886,non_dwarf_643,169_280,0.0
131.52834,50.199627,non_dwarf_642,169_280,0.0
131.18948,50.103184,non_dwarf_641,169_280,0.0
131.30226,49.83894,non_dwarf_640,169_280,0.0
131.55229,50.026024,non_dwarf_638,169_280,0.0
131.08327,50.165516,non_dwarf_635,169_280,0.0
131.35732,49.83866,non_dwarf_1795,169_280,0.0
131.1755,50.084824,0844422+500506,169_280,0.958333333333333
131.50809,49.93223,MATLAS-416,169_280,0.833333333333333
131.84206,49.998608,0847222+495956,169_280,0.541666666666667
131.55116,49.868233,non_dwarf_630,169_280,0.0
131.30374,50.220776,MATLAS-414,169_280,0.875
131.3195,50.213615,084516+501248,169_280,0.875
134.46033,51.045547,0857504+510244,169_282,0.708333333333333
259.36676,70.78079,1717281+704653,169_322,0.5
258.96045,70.824585,non_dwarf_646,169_322,0.0
118.195274,44.197186,0752468+441151,170_268,0.583333333333333
118.40823,43.959812,non_dwarf_647,170_268,0.0
118.10002,43.997654,non_dwarf_1798,170_268,0.0
118.41405,44.09731,0753393+440551,170_268,0.875
118.44103,44.17797,non_dwarf_1799,170_268,0.0
139.49344,52.621616,non_dwarf_652,170_285,0.0
139.49696,52.74261,NSA-78947,170_285,0.708333333333333
190.03322,63.521626,1240079+633118,170_307,0.208333333333333
190.3272,63.426365,non_dwarf_656,170_307,0.0
189.9781,63.55755,non_dwarf_657,170_307,0.0
189.95131,63.580692,non_dwarf_655,170_307,0.0
190.56805,63.521698,1242161+633120,170_307,0.125
190.23865,63.519863,non_dwarf_654,170_307,0.0
255.11533,70.399445,non_dwarf_1804,170_321,0.0
254.58974,70.260544,non_dwarf_661,170_321,0.0
255.29138,70.24159,non_dwarf_1803,170_321,0.0
255.10637,70.29037,1700256+701726,170_321,0.708333333333333
254.77531,70.25092,non_dwarf_658,170_321,0.0
131.55496,49.306725,non_dwarf_664,171_279,0.0
131.38815,49.253586,MATLAS-415,171_279,1.0
131.47539,49.478973,non_dwarf_662,171_279,0.0
138.93346,51.967182,non_dwarf_666,171_284,0.0
138.97032,51.99422,non_dwarf_667,171_284,0.0
138.8826,52.04547,091531+520243,171_284,1.0
262.80606,71.13833,1731137+710817,171_322,0.666666666666667
262.89966,71.04485,non_dwarf_671,171_322,0.0
262.93207,71.228874,non_dwarf_673,171_322,0.0
263.0263,71.19434,non_dwarf_1809,171_322,0.0
128.02739,47.61256,non_dwarf_674,173_275,0.0
128.11209,47.641457,non_dwarf_676,173_275,0.0
128.12234,47.48122,0832293+472853,173_275,0.833333333333333
139.06776428222656,51.50233840942383,091616+513008,173_283,0.0
139.66261,51.6786,non_dwarf_1811,174_283,0.0
139.8557,51.66753,0919255+514004,174_283,0.958333333333333
139.49051,51.301952,091757+511807,174_283,1.0
139.6963,51.242958,non_dwarf_677,174_283,0.0
139.4163,51.373497,non_dwarf_679,174_283,0.0
139.54234,51.452084,non_dwarf_1812,174_283,0.0
139.47173,51.288628,non_dwarf_686,174_283,0.0
139.6462,51.344353,non_dwarf_687,174_283,0.0
139.9355,51.555023,non_dwarf_688,174_283,0.0
139.99538,51.638096,non_dwarf_1810,174_283,0.0
139.91026,51.53543,non_dwarf_680,174_283,0.0
254.39182,70.12088,non_dwarf_696,174_320,0.0
254.91237,70.173035,non_dwarf_697,174_320,0.0
254.3669,70.15399,1657280+700915,174_320,0.583333333333333
254.3654,70.00378,non_dwarf_694,174_320,0.0
254.22983,70.067474,non_dwarf_695,174_320,0.0
114.98951,40.69035,non_dwarf_701,175_261,0.0
115.094955,40.548138,0740230+403255,175_261,1.0
115.219536,40.64301,non_dwarf_1814,175_261,0.0
115.097015,40.516804,non_dwarf_698,175_261,0.0
117.08754,41.528625,non_dwarf_703,175_263,0.0
116.9406,41.44627,non_dwarf_707,175_263,0.0
116.96736,41.53956,non_dwarf_708,175_263,0.0
116.930275,41.386387,non_dwarf_1816,175_263,0.0
116.60104,41.45021,0746242+412701,175_263,0.916666666666667
117.00578,41.451492,non_dwarf_1818,175_263,0.0
116.95817,41.490673,non_dwarf_1819,175_263,0.0
117.0003,41.51581,0748000+413057,175_263,0.958333333333333
117.07336,41.533707,non_dwarf_1817,175_263,0.0
136.35567,49.895683,0905253+495345,175_280,0.916666666666667
136.37587,49.887806,non_dwarf_711,175_280,0.0
136.31032,49.857784,non_dwarf_712,175_280,0.0
136.31529,49.87043,non_dwarf_710,175_280,0.0
139.23813,51.056103,091657+510328,175_282,0.875
139.29909,51.01721,non_dwarf_718,175_282,0.0
139.14183,51.0566,non_dwarf_715,175_282,0.0
139.29295,51.174397,non_dwarf_716,175_282,0.0
215.24663,66.243866,non_dwarf_719,175_312,0.0
214.91438,66.23715,1419398+661416,175_312,0.958333333333333
214.67342,66.20952,non_dwarf_1825,175_312,0.0
214.57916,66.256355,non_dwarf_1826,175_312,0.0
215.11673,66.235695,non_dwarf_1827,175_312,0.0
133.78604,49.066704,0855086+490400,176_278,1.0
139.9239,50.97875,0919417+505844,176_282,1.0
141.07054,51.658775,092416+513931,176_283,0.958333333333333
141.66011,51.73938,0926384+514423,176_283,1.0
141.71089,51.5381,non_dwarf_722,176_283,0.0
141.7252,51.59576,non_dwarf_1829,176_283,0.0
141.5378,51.561127,non_dwarf_728,176_283,0.0
141.158,51.705643,non_dwarf_727,176_283,0.0
129.53531,47.016716,0838084+470101,177_274,1.0
139.33548,50.655426,non_dwarf_730,177_281,0.0
139.34941,50.560604,0917237+503338,177_281,0.958333333333333
140.70628,50.80456,non_dwarf_1834,177_282,0.0
140.73558,50.77588,non_dwarf_1833,177_282,0.0
140.76535,50.82658,0923036+504936,177_282,1.0
140.60849,50.893368,non_dwarf_736,177_282,0.0
140.5886,50.838684,non_dwarf_734,177_282,0.0
140.78714,50.936947,0923090+505614,177_282,0.666666666666667
139.88625,50.69566,non_dwarf_741,178_281,0.0
139.99557,50.74351,non_dwarf_742,178_281,0.0
140.14352,50.723404,092034+504321,178_281,0.125
140.24731,50.67282,non_dwarf_1835,178_281,0.0
141.69786,50.775135,non_dwarf_744,178_282,0.0
141.42455,50.872147,non_dwarf_743,178_282,0.0
141.81558,50.758755,non_dwarf_1836,178_282,0.0
141.66281,50.80257,0926392+504809,178_282,0.833333333333333
141.43341,50.85973,non_dwarf_745,178_282,0.0
199.48087,63.30378,1317554+631814,178_307,0.75
199.29451,63.287777,non_dwarf_747,178_307,0.0
135.40782,48.480305,0901379+482850,179_277,1.0
135.06572,48.466515,0900157+482758,179_277,0.583333333333333
135.17062,48.48117,non_dwarf_749,179_277,0.0
140.59628,50.501602,non_dwarf_1843,179_281,0.0
140.7153,50.59214,0922515+503533,179_281,0.916666666666667
140.75645,50.6559,non_dwarf_751,179_281,0.0
138.6063,49.47913,non_dwarf_1844,180_279,0.0
138.69478,49.58372,non_dwarf_755,180_279,0.0
138.75212,49.505154,0915004+493018,180_279,0.0416666666666667
139.71701,50.187527,091852+501116,180_280,0.791666666666667
139.7614,50.242107,non_dwarf_757,180_280,0.0
141.12813,50.265965,non_dwarf_761,180_281,0.0
141.26883,50.37055,non_dwarf_762,180_281,0.0
141.24563598632812,50.365272521972656,0924589+502156,180_281,0.0
205.70035,63.953644,non_dwarf_763,180_308,0.0
205.46652,63.889614,non_dwarf_766,180_308,0.0
205.51408,63.877438,1342032+635239,180_308,0.416666666666667
263.67007,69.79859,non_dwarf_769,180_320,0.0
263.33908,69.89064,non_dwarf_1848,180_320,0.0
263.71167,69.91768,1734509+695504,180_320,0.375
263.6684,69.8422,non_dwarf_1847,180_320,0.0
263.62268,69.991135,non_dwarf_767,180_320,0.0
135.37376,47.814667,0901297+474853,181_276,0.583333333333333
135.40852,47.947258,non_dwarf_775,181_276,0.0
135.6267,47.810017,non_dwarf_773,181_276,0.0
135.47089,47.94579,non_dwarf_1851,181_276,0.0
135.56647,48.005978,non_dwarf_1852,181_276,0.0
